,lines,shapely,length,start,end
2199,"LINESTRING (105.7622587531071 20.09694232772305, 105.7622593951036 20.09694232028131, 105.7622609432082 20.09694249062323)","LINESTRING (105.7622587531071 20.09694232772305, 105.7622593951036 20.09694232028131, 105.7622609432082 20.09694249062323)",0.23007264981,POINT (105.7622587531071 20.09694232772305),POINT (105.7622609432082 20.09694249062323)
2203,"LINESTRING (105.7622716110008 20.09745895150268, 105.7622922328404 20.09745768409806)","LINESTRING (105.7622716110008 20.09745895150268, 105.7622922328404 20.09745768409806)",2.1605485818,POINT (105.7622716110008 20.09745895150268),POINT (105.7622922328404 20.09745768409806)
2204,"LINESTRING (105.7622718096548 20.09725450623966, 105.7622802781058 20.09725366656079, 105.762282447647 20.09725371868438)","LINESTRING (105.7622718096548 20.09725450623966, 105.7622802781058 20.09725366656079, 105.762282447647 20.09725371868438)",1.11712864365,POINT (105.7622718096548 20.09725450623966),POINT (105.762282447647 20.09725371868438)
2205,"LINESTRING (105.7622731750645 20.09664477904327, 105.7622960446423 20.09664291483711, 105.7623209105515 20.09664366210417)","LINESTRING (105.7622731750645 20.09664477904327, 105.7622960446423 20.09664291483711, 105.7623209105515 20.09664366210417)",5.00091835076,POINT (105.7622731750645 20.09664477904327),POINT (105.7623209105515 20.09664366210417)
2206,"LINESTRING (105.7622999358911 20.09656212369917, 105.7622998313296 20.09656234249197)","LINESTRING (105.7622999358911 20.09656212369917, 105.7622998313296 20.09656234249197)",0.0265671315485,POINT (105.7622999358911 20.09656212369917),POINT (105.7622998313296 20.09656234249197)
2207,"LINESTRING (105.7622998313296 20.09656234249197, 105.7623038973404 20.09655940869455)","LINESTRING (105.7622998313296 20.09656234249197, 105.7623038973404 20.09655940869455)",0.534909908596,POINT (105.7622998313296 20.09656234249197),POINT (105.7623038973404 20.09655940869455)
2209,"LINESTRING (105.7623595733241 20.0845089301116, 105.7623479007406 20.08451879324436)","LINESTRING (105.7623595733241 20.0845089301116, 105.7623479007406 20.08451879324436)",1.63737462024,POINT (105.7623595733241 20.0845089301116),POINT (105.7623479007406 20.08451879324436)
2210,"LINESTRING (105.7623993596724 20.10124431836821, 105.7624051567435 20.10123798061993)","LINESTRING (105.7623993596724 20.10124431836821, 105.7624051567435 20.10123798061993)",0.926969213016,POINT (105.7623993596724 20.10124431836821),POINT (105.7624051567435 20.10123798061993)
2213,"LINESTRING (105.7624509437433 20.08054681536894, 105.7624451571724 20.08054738314786)","LINESTRING (105.7624509437433 20.08054681536894, 105.7624451571724 20.08054738314786)",0.608298731009,POINT (105.7624509437433 20.08054681536894),POINT (105.7624451571724 20.08054738314786)
2214,"LINESTRING (105.7624727346789 20.10128068966983, 105.7624710948346 20.10127269386315)","LINESTRING (105.7624727346789 20.10128068966983, 105.7624710948346 20.10127269386315)",0.901350049581,POINT (105.7624727346789 20.10128068966983),POINT (105.7624710948346 20.10127269386315)
2217,"LINESTRING (105.7624759840865 20.10126675835952, 105.7624711024731 20.10127269380891)","LINESTRING (105.7624759840865 20.10126675835952, 105.7624711024731 20.10127269380891)",0.831834294862,POINT (105.7624759840865 20.10126675835952),POINT (105.7624711024731 20.10127269380891)
2218,"LINESTRING (105.7624741443581 20.10127622172359, 105.7624711737765 20.10127271148608)","LINESTRING (105.7624741443581 20.10127622172359, 105.7624711737765 20.10127271148608)",0.497357786021,POINT (105.7624741443581 20.10127622172359),POINT (105.7624711737765 20.10127271148608)
2220,"LINESTRING (105.7624721240453 20.10127298412638, 105.762471811677 20.10127286353008, 105.7624711977555 20.10127271131428)","LINESTRING (105.7624721240453 20.10127298412638, 105.762471811677 20.10127286353008, 105.7624711977555 20.10127271131428)",0.101636088568,POINT (105.7624721240453 20.10127298412638),POINT (105.7624711977555 20.10127271131428)
2221,"LINESTRING (105.7624749901695 20.10127118566681, 105.7624711977555 20.10127271131428)","LINESTRING (105.7624749901695 20.10127118566681, 105.7624711977555 20.10127271131428)",0.430937313147,POINT (105.7624749901695 20.10127118566681),POINT (105.7624711977555 20.10127271131428)
2223,"LINESTRING (105.7625341717965 20.08091108835986, 105.7625190685403 20.08091701068178)","LINESTRING (105.7625341717965 20.08091108835986, 105.7625190685403 20.08091701068178)",1.70980520532,POINT (105.7625341717965 20.08091108835986),POINT (105.7625190685403 20.08091701068178)
2224,"LINESTRING (105.7625785808973 20.081277215653, 105.7625618491197 20.08127636561332)","LINESTRING (105.7625785808973 20.081277215653, 105.7625618491197 20.08127636561332)",1.75199629591,POINT (105.7625785808973 20.081277215653),POINT (105.7625618491197 20.08127636561332)
2226,"LINESTRING (105.7626697062174 20.08199506564309, 105.7626594462337 20.08199784125027)","LINESTRING (105.7626697062174 20.08199506564309, 105.7626594462337 20.08199784125027)",1.11588711366,POINT (105.7626697062174 20.08199506564309),POINT (105.7626594462337 20.08199784125027)
2228,"LINESTRING (105.7627266957348 20.08313067971989, 105.7627468694086 20.08314533675041)","LINESTRING (105.7627266957348 20.08313067971989, 105.7627468694086 20.08314533675041)",2.66090920918,POINT (105.7627266957348 20.08313067971989),POINT (105.7627468694086 20.08314533675041)
2230,"LINESTRING (105.7628237656126 20.08504872972113, 105.7628275906584 20.08504266377459)","LINESTRING (105.7628237656126 20.08504872972113, 105.7628275906584 20.08504266377459)",0.781418673786,POINT (105.7628237656126 20.08504872972113),POINT (105.7628275906584 20.08504266377459)
2232,"LINESTRING (105.7629610192871 20.08286481954328, 105.7629441156881 20.08285008853872)","LINESTRING (105.7629610192871 20.08286481954328, 105.7629441156881 20.08285008853872)",2.40448828493,POINT (105.7629610192871 20.08286481954328),POINT (105.7629441156881 20.08285008853872)
